Ret.Time	Absolute Intensity	Relative Intensity
3.933	56164	1.24
3.937	60539	1.33
3.940	61820	1.36
3.943	60222	1.33
3.947	53916	1.19
3.950	47276	1.04
3.953	41640	0.92
3.957	36804	0.81
3.960	33771	0.74
3.963	31379	0.69
3.967	30791	0.68
3.970	30874	0.68
3.973	31075	0.68
3.977	31597	0.70
3.980	34153	0.75
3.983	36405	0.80
3.987	37522	0.83
3.990	37624	0.83
3.993	36792	0.81
3.997	35690	0.79
4.000	33727	0.74
4.003	31463	0.69
4.007	30759	0.68
4.010	30183	0.67
4.013	30030	0.66
4.017	30322	0.67
4.020	30924	0.68
4.023	31111	0.69
4.027	30732	0.68
4.030	30127	0.66
4.033	29681	0.65
4.037	27854	0.61
4.040	27180	0.60
4.043	26873	0.59
4.047	26577	0.59
4.050	26485	0.58
4.053	26679	0.59
4.057	26791	0.59
4.060	26531	0.58
4.063	26646	0.59
4.067	27111	0.60
4.070	27296	0.60
4.073	27184	0.60
4.077	26998	0.60
4.080	26762	0.59
4.083	26996	0.60
4.087	27556	0.61
4.090	27701	0.61
4.093	28788	0.63
4.097	29781	0.66
4.100	29881	0.66
4.103	29678	0.65
4.107	29639	0.65
4.110	29300	0.65
4.113	28573	0.63
4.117	27818	0.61
4.120	27500	0.61
4.123	27269	0.60
4.127	27169	0.60
4.130	27325	0.60
4.133	27692	0.61
4.137	27481	0.61
4.140	26984	0.59
4.143	26983	0.59
4.147	26469	0.58
4.150	26346	0.58
4.153	26802	0.59
4.157	27094	0.60
4.160	26928	0.59
4.163	26489	0.58
4.167	26304	0.58
4.170	26347	0.58
4.173	26491	0.58
4.177	26586	0.59
4.180	26803	0.59
4.183	27006	0.60
4.187	27044	0.60
4.190	27170	0.60
4.193	27175	0.60
4.197	27691	0.61
4.200	28342	0.62
4.203	28677	0.63
4.207	28861	0.64
4.210	28994	0.64
4.213	29211	0.64
4.217	28881	0.64
4.220	28114	0.62
4.223	28255	0.62
4.227	27895	0.61
4.230	27563	0.61
4.233	27303	0.60
4.237	27094	0.60
4.240	26985	0.59
4.243	27040	0.60
4.247	27074	0.60
4.250	27063	0.60
4.253	26982	0.59
4.257	27028	0.60
4.260	27051	0.60
4.263	27055	0.60
4.267	27084	0.60
4.270	27371	0.60
4.273	27568	0.61
4.277	27775	0.61
4.280	28530	0.63
4.283	28410	0.63
4.287	27331	0.60
4.290	26920	0.59
4.293	26971	0.59
4.297	27274	0.60
4.300	27584	0.61
4.303	27372	0.60
4.307	27161	0.60
4.310	27013	0.60
4.313	26982	0.59
4.317	27062	0.60
4.320	27188	0.60
4.323	27184	0.60
4.327	27083	0.60
4.330	27251	0.60
4.333	27408	0.60
4.337	27594	0.61
4.340	27784	0.61
4.343	27793	0.61
4.347	27648	0.61
4.350	27891	0.61
4.353	27985	0.62
4.357	28048	0.62
4.360	28265	0.62
4.363	28144	0.62
4.367	27598	0.61
4.370	27538	0.61
4.373	27550	0.61
4.377	27465	0.61
4.380	27258	0.60
4.383	27101	0.60
4.387	27134	0.60
4.390	27254	0.60
4.393	27168	0.60
4.397	26950	0.59
4.400	27147	0.60
4.403	27395	0.60
4.407	27239	0.60
4.410	27132	0.60
4.413	26661	0.59
4.417	25860	0.57
4.420	25593	0.56
4.423	25537	0.56
4.427	25823	0.57
4.430	26088	0.57
4.433	25809	0.57
4.437	26667	0.59
4.440	26864	0.59
4.443	26458	0.58
4.447	26547	0.59
4.450	27059	0.60
4.453	27356	0.60
4.457	27406	0.60
4.460	27291	0.60
4.463	27430	0.60
4.467	27629	0.61
4.470	27501	0.61
4.473	27314	0.60
4.477	27254	0.60
4.480	27316	0.60
4.483	27143	0.60
4.487	27158	0.60
4.490	27220	0.60
4.493	27347	0.60
4.497	27450	0.61
4.500	27363	0.60
4.503	27316	0.60
4.507	27484	0.61
4.510	27728	0.61
4.513	28239	0.62
4.517	28730	0.63
4.520	28762	0.63
4.523	28703	0.63
4.527	28659	0.63
4.530	27993	0.62
4.533	27726	0.61
4.537	27673	0.61
4.540	27449	0.60
4.543	27343	0.60
4.547	27501	0.61
4.550	27576	0.61
4.553	27655	0.61
4.557	27711	0.61
4.560	27417	0.60
4.563	27222	0.60
4.567	27275	0.60
4.570	27457	0.61
4.573	27506	0.61
4.577	27479	0.61
4.580	27713	0.61
4.583	27770	0.61
4.587	27440	0.60
4.590	27586	0.61
4.593	29651	0.65
4.597	32664	0.72
4.600	37011	0.82
4.603	42958	0.95
4.607	49660	1.09
4.610	55638	1.23
4.613	57244	1.26
4.617	55913	1.23
4.620	52820	1.16
4.623	49199	1.08
4.627	45202	1.00
4.630	42746	0.94
4.633	41137	0.91
4.637	39944	0.88
4.640	38007	0.84
4.643	36152	0.80
4.647	34884	0.77
4.650	34488	0.76
4.653	33789	0.74
4.657	33103	0.73
4.660	32527	0.72
4.663	32093	0.71
4.667	32422	0.71
4.670	32740	0.72
4.673	32700	0.72
4.677	32747	0.72
4.680	32580	0.72
